Transaction_id,Transaction_Type,Description,Amount,Transaction_Date,Customer_id
188,Transfer,Speech compare eat no.,1692.59,2015-11-09,15
189,Deposit,Want war never gas.,65.88,2018-03-02,15
190,Deposit,Especially future strategy officer.,986.03,2019-03-09,15
191,Deposit,Clear service nice tough.,2092.61,2024-01-31,15
192,Payment,Southern writer participant these TV.,203.58,2016-06-28,15
193,Deposit,Tend eat interview toward them.,1135.68,2022-10-14,15
194,Payment,Exist decide over style.,824.24,2025-04-25,15
195,Withdrawal,If and leader sort.,812.96,2017-08-08,15
196,Transfer,Cut also option open ever.,529.21,2025-04-05,15
197,Deposit,Meet lay various worry science.,808.60,2025-03-08,15
198,Payment,Population project might its last.,1368.34,2019-01-20,15
199,Withdrawal,Particularly election administration red lead,232.28,2022-12-11,15
200,Payment,The term.,600.96,2017-02-28,15
201,Withdrawal,Once be end key.,223.88,2016-03-31,15
202,Payment,Ball white.,408.19,2017-01-24,15
203,Withdrawal,Sometimes end week.,713.05,2017-05-14,15
204,Payment,Bill hot stop industry.,302.38,2020-04-20,15
205,Withdrawal,A full myself measure.,1839.99,2022-04-30,15
206,Transfer,Rather his.,898.25,2024-09-23,15
207,Payment,End thought raise.,1282.12,2020-04-25,15
208,Payment,Exist debate whole.,1191.62,2019-06-29,18
209,Transfer,Thought work offer foreign third.,226.47,2021-01-25,18
210,Payment,Food training population.,1535.06,2020-12-08,18
211,Transfer,Impact religious social director.,233.28,2020-01-19,18
212,Withdrawal,Financial career Republican top.,2433.21,2018-03-22,18
213,Withdrawal,Somebody itself likely.,1619.38,2017-10-20,18
214,Deposit,Onto tonight soon buy where.,2326.74,2019-11-23,18
215,Deposit,Form woman radio.,727.47,2020-11-25,18
216,Transfer,Much the yourself.,2268.11,2020-06-13,18
217,Transfer,Season sense themselves feeling.,372.37,2024-05-16,18
218,Payment,Pick set.,2104.00,2019-12-10,18
219,Deposit,Military explain each.,739.41,2025-04-09,18
220,Deposit,Teacher test provide cultural.,2293.34,2020-01-19,18
221,Deposit,Go affect style against bag.,1277.12,2021-03-05,18
222,Transfer,Keep official over.,1162.18,2017-09-23,18
223,Deposit,Whom particular.,889.29,2019-03-29,18
224,Deposit,Ability family turn.,1921.85,2025-08-16,18
225,Payment,Challenge than remain least.,449.70,2023-10-06,19
226,Transfer,Heavy little through hold increase.,114.10,2021-02-20,19
227,Payment,War section.,785.55,2017-09-08,19
228,Transfer,Effect quite deep.,1893.63,2020-10-05,19
229,Withdrawal,Election meet our section responsibility.,853.99,2016-01-13,19
230,Transfer,Bit author white.,528.46,2024-12-05,19
231,Payment,Develop keep instead.,2179.17,2024-08-12,19
232,Payment,Research sea answer third.,1336.41,2025-09-28,19
233,Payment,Though feeling term.,292.58,2023-11-18,19
234,Payment,Left into push three.,1150.95,2021-04-06,19
235,Transfer,Each hotel Mrs recent.,757.70,2016-09-08,19
236,Payment,Pass travel trip painting sport.,1726.97,2018-01-24,19
237,Withdrawal,Situation whom teach.,2011.80,2024-10-28,19
238,Deposit,Evening expert dream expect maybe.,338.65,2023-09-01,19
239,Withdrawal,Catch government couple seek.,2040.10,2018-01-01,19
240,Payment,There thank while.,2147.67,2023-06-17,19
241,Withdrawal,Live letter newspaper.,1621.91,2018-07-09,19
242,Withdrawal,Agent the against.,1090.04,2018-10-14,19
243,Payment,Instead great final knowledge.,216.15,2017-03-05,19
244,Deposit,Fear away senior.,1185.50,2025-07-24,20
245,Payment,Prepare debate perform.,416.10,2024-02-05,20
246,Deposit,Small poor.,2409.70,2020-07-08,20
247,Withdrawal,Number everyone.,2149.63,2019-03-30,20
248,Payment,Someone head.,504.14,2019-06-03,20
249,Deposit,Rise change seat reveal.,128.25,2025-09-19,20
250,Payment,Each work song pressure.,1576.39,2017-10-23,20
251,Payment,Half garden Congress customer.,2448.74,2016-04-16,20
252,Transfer,Walk involve all.,1842.96,2019-02-15,20
253,Payment,Technology already.,1219.25,2020-05-09,21
254,Deposit,Ahead yourself say audience.,580.53,2025-02-15,21
255,Deposit,Spring once send.,1055.59,2022-04-07,21
256,Payment,Station back outside she.,670.35,2018-07-15,21
257,Payment,Nothing save street year.,2222.96,2024-06-30,21
258,Transfer,Natural raise.,1557.12,2018-07-24,21
259,Withdrawal,Maybe see language upon.,1744.09,2025-07-28,22
260,Payment,Interview find fill large.,720.74,2023-08-26,22
261,Withdrawal,Member shake.,860.27,2023-03-16,22
262,Transfer,Memory protect exactly left.,1469.56,2018-02-15,22
263,Payment,In provide teach street natural.,2304.42,2016-03-27,22
264,Payment,Remain administration health.,328.77,2022-07-08,22
265,Transfer,Hard gas outside.,2399.55,2016-06-18,22
266,Withdrawal,Admit politics attack responsibility.,1990.14,2016-11-02,22
267,Deposit,Reality about Congress.,1554.98,2022-08-22,22
268,Withdrawal,Many traditional talk.,1667.97,2024-05-11,22
269,Payment,Everything loss drop movement.,499.51,2019-01-05,22
270,Payment,Trip attack area.,253.16,2021-02-21,22
271,Deposit,Describe because.,759.83,2023-06-17,22
272,Transfer,Heavy final film test.,2498.15,2021-10-13,22
273,Withdrawal,Necessary study education.,893.25,2024-01-11,22
274,Deposit,Fund end federal few.,2070.04,2020-02-28,22
275,Payment,Able force energy.,2017.23,2022-01-07,22
276,Deposit,Admit today.,285.81,2023-04-07,22
277,Transfer,Trouble difficult mean.,1405.39,2020-05-08,22
278,Deposit,Study yeah Mr.,1962.43,2017-03-06,23
279,Transfer,Including understand ten look.,1925.47,2019-07-24,23
280,Deposit,Data wide.,2240.90,2016-03-27,23
281,Payment,Baby purpose across green.,1766.31,2020-11-23,23
282,Deposit,Crime too wife significant.,2406.66,2017-05-01,23
283,Deposit,Spring glass week very simply.,2436.67,2017-01-15,23
284,Deposit,Point really major own.,2059.20,2025-05-03,23
285,Withdrawal,Theory southern around officer.,418.45,2024-06-25,23
286,Transfer,Relationship quality wind.,2277.55,2024-01-17,23
287,Payment,Wife network heart.,1770.70,2017-04-05,23
288,Withdrawal,Space style win book.,1831.65,2024-09-10,23
289,Withdrawal,Generation per Democrat day.,1618.09,2022-01-20,23
290,Payment,Onto find.,308.34,2023-07-18,23
291,Deposit,Begin through she run yeah.,2424.12,2017-03-07,23
292,Payment,Assume election history else region.,614.04,2016-09-24,23
293,Deposit,Find church ready.,717.61,2023-11-20,24
294,Payment,Off season drug several.,665.77,2017-10-14,24
295,Withdrawal,Subject save.,902.25,2018-05-08,24
296,Payment,Community middle.,379.88,2017-05-10,24
297,Payment,Line cover before.,1968.25,2024-04-04,24
298,Payment,Fast husband.,1034.11,2021-03-20,24
299,Transfer,Economic forward political.,2379.65,2020-01-07,24
300,Withdrawal,Cultural approach artist development.,2359.41,2020-11-04,24
301,Deposit,Arrive film act.,1925.61,2017-10-04,24
302,Payment,Mouth public between answer.,212.86,2022-04-11,24
303,Payment,Guess near professional fine.,2454.88,2023-12-18,24
304,Deposit,Image style it see.,154.61,2017-04-17,24
305,Withdrawal,For though build.,1650.78,2018-08-12,24
306,Transfer,Score contain opportunity center voice.,2256.38,2025-02-27,24
307,Transfer,Environment check indicate range various.,1048.84,2015-11-15,24
308,Transfer,Age will.,2273.17,2025-09-19,25
309,Withdrawal,Word herself past admit.,2250.62,2018-12-17,25
310,Withdrawal,Player civil economic son but.,1751.04,2020-10-20,25
311,Payment,Center station understand charge base.,2219.06,2018-10-21,25
312,Payment,Green point color site.,1743.98,2015-11-08,25
313,Transfer,Nothing high certainly more place.,1938.73,2015-12-05,25
314,Transfer,Of usually beat about.,211.62,2019-10-12,25
315,Withdrawal,Notice cause son plan.,975.59,2017-09-29,25
316,Transfer,Manage set necessary lay.,1301.65,2019-09-28,25
317,Transfer,Citizen air whether.,535.12,2020-01-26,25
318,Withdrawal,Tree environment fund management.,1303.82,2017-04-26,25
319,Transfer,Effect course leg.,59.53,2015-10-28,25
320,Transfer,Certain glass far.,604.11,2017-02-15,25
321,Deposit,Too specific former.,1816.55,2020-02-21,25
322,Transfer,This sort age upon trial.,1830.23,2016-05-14,25
323,Deposit,Human south analysis need community.,1567.85,2021-10-31,26
324,Deposit,Energy industry grow.,120.28,2018-07-04,26
325,Deposit,Though enjoy west.,1122.39,2019-05-22,26
326,Withdrawal,Realize parent game responsibility.,1133.41,2023-02-27,26
327,Withdrawal,Either base.,876.49,2022-08-13,26
328,Withdrawal,Will once form hot.,1786.16,2019-12-24,26
329,Withdrawal,Daughter behind home.,263.96,2020-01-06,26
330,Payment,Subject issue care method man.,2057.28,2021-10-03,26
331,Payment,Unit kind they girl recently.,245.87,2017-10-29,26
332,Deposit,Perhaps down deal probably appear.,2071.27,2024-11-20,26
333,Withdrawal,Those catch option.,156.42,2015-11-04,26
334,Deposit,Yeah son.,1191.16,2020-10-20,26
335,Payment,New across evidence.,923.87,2019-11-27,26
336,Payment,Everyone send total bag officer.,2180.16,2019-04-03,28
337,Payment,Democrat admit.,1591.52,2020-11-14,28
338,Withdrawal,Building return eight yes.,1829.56,2021-02-17,28
339,Payment,Something she role nice week.,361.72,2024-05-19,28
340,Deposit,Face available represent business least.,1778.17,2024-05-10,28
341,Payment,Room whatever do key night.,1736.48,2020-09-12,28
342,Transfer,Grow behavior save listen policy.,82.49,2024-01-18,28
343,Payment,Former determine price hour account.,2304.32,2024-06-22,28
344,Transfer,Eight member military spring more.,276.73,2021-08-30,28
345,Deposit,Strong forward read chance.,101.67,2024-02-02,28
346,Transfer,Happen professional production.,929.30,2021-08-10,28
347,Withdrawal,Their city town.,735.66,2025-06-29,28
348,Payment,Too set book despite early.,356.21,2019-03-12,28
349,Transfer,Among together method.,122.58,2022-05-21,28
350,Payment,Movement fear walk institution.,539.74,2016-08-14,28
351,Transfer,Police maybe particularly human.,6.21,2019-09-01,28
352,Payment,Soon despite wind safe.,169.84,2025-04-21,28
353,Payment,For offer friend bag group.,1433.07,2019-06-18,29
354,Payment,Ball local today.,2250.82,2017-01-16,29
355,Withdrawal,Outside city me performance.,1188.59,2017-09-24,29
356,Payment,Mr leader everybody.,1905.12,2020-02-23,29
357,Payment,Relationship fact.,1904.44,2018-04-29,29
358,Transfer,History thought up investment follow.,373.31,2017-08-23,29
359,Payment,Stuff present so.,224.20,2018-10-19,29
360,Transfer,Manage either difference party green.,968.70,2021-05-16,29
361,Payment,Author group political financial.,1352.95,2018-04-15,29
362,Deposit,Particularly key.,1840.05,2018-07-25,29
363,Deposit,Interview very account speak not.,2165.02,2017-11-16,29
364,Transfer,Go mean contain.,1430.41,2016-11-16,29
365,Deposit,How court.,1403.05,2024-06-01,29
366,Deposit,Beat say.,481.87,2018-11-13,29
367,Withdrawal,Little police common exactly call.,2393.27,2019-12-15,29
368,Deposit,Service social Democrat.,1876.65,2020-03-03,29
369,Withdrawal,Cold high network nothing mind.,301.59,2019-11-04,29
370,Withdrawal,Job reason western.,2405.98,2022-09-21,29
371,Payment,Wife ever soldier cultural.,613.97,2017-11-22,29
372,Transfer,Network author take.,212.54,2019-10-28,29
373,Deposit,Just drop some.,1472.64,2020-04-17,30
374,Payment,Human would magazine up for.,850.55,2023-10-13,30
375,Transfer,Indicate administration each.,61.12,2019-11-20,30
376,Deposit,Throughout American three.,955.65,2024-10-14,30
377,Withdrawal,Talk use station idea.,2449.49,2019-09-24,30
378,Transfer,Many answer four.,714.09,2023-10-04,30
379,Transfer,House recent soldier.,1920.99,2024-01-29,30
380,Withdrawal,Of blood real report start.,2380.46,2018-03-13,30
381,Withdrawal,Impact school understand child.,148.23,2022-02-27,30
382,Transfer,Hair amount wonder these.,68.90,2025-02-24,30
383,Withdrawal,Wide reveal sure power.,975.46,2022-03-21,30
384,Transfer,News team purpose.,1032.64,2022-03-04,30
385,Deposit,Future floor catch trial.,939.41,2016-07-10,30
386,Withdrawal,Consumer employee wall he.,130.64,2023-02-13,30
387,Payment,Political environment security able.,1232.96,2017-05-15,30
388,Deposit,Participant strategy story store bank.,2373.44,2022-10-14,30
389,Payment,Recent visit parent ask low.,796.52,2019-08-09,30
390,Withdrawal,Attention occur read federal.,1210.94,2021-03-27,31
391,Transfer,Page close deal.,2284.42,2025-08-06,31
392,Deposit,Investment every.,1385.63,2019-03-27,31
393,Withdrawal,Concern service service military popular.,616.54,2019-08-02,31
394,Payment,Live key its here five.,762.23,2021-03-30,31
395,Withdrawal,Loss gun.,210.69,2018-09-04,31
396,Transfer,Rise enjoy soldier.,1957.42,2024-03-17,31
397,Payment,Police fill worker.,1955.28,2019-10-12,33
398,Payment,Mr price big teacher.,2403.42,2019-08-01,33
399,Payment,Company cell able old should.,105.44,2016-09-10,33
400,Transfer,Main water.,2402.82,2018-11-05,33
401,Deposit,Fear both decision.,1632.99,2023-12-06,33
402,Transfer,Less by anything answer but.,151.38,2020-05-25,33
403,Payment,Poor left teach short.,1495.07,2016-05-23,33
404,Withdrawal,Which drive author thus energy.,2498.11,2016-05-11,33
405,Transfer,Low common wall life matter.,1463.31,2020-01-31,33
406,Deposit,Effort development establish whom.,114.67,2017-07-08,33
407,Deposit,Finally hour forget possible.,225.20,2017-12-22,34
408,Transfer,Degree professor charge team.,2076.41,2017-09-04,34
409,Transfer,Happen health need street purpose.,2195.82,2023-06-11,34
410,Transfer,Size student magazine our strategy.,2209.95,2021-12-18,34
411,Payment,Up best impact and.,2449.12,2017-11-14,34
412,Transfer,Significant energy policy since improve.,683.26,2018-05-19,34
413,Transfer,Degree save skin.,854.73,2020-08-25,34
414,Withdrawal,Know feel let.,40.67,2018-01-18,34
415,Payment,Hundred or wish.,1616.46,2025-10-13,34
416,Withdrawal,Effort without.,11.69,2025-09-12,34
417,Payment,Major speak star early fact.,1033.49,2017-12-30,34
418,Deposit,Glass floor future among require.,1906.40,2019-10-09,34
419,Deposit,Voice health short also.,1968.48,2018-07-12,34
420,Payment,Agent part home affect.,1347.08,2016-06-22,34
421,Payment,Girl question probably always.,883.13,2016-09-09,35
422,Payment,Just along.,2068.84,2021-10-16,35
423,Deposit,Least so especially almost.,443.79,2017-03-12,35
424,Withdrawal,It our want fine quite.,312.78,2021-08-26,35
425,Deposit,Tough choose see half.,1112.00,2023-04-28,35
426,Transfer,Professor side type.,1896.29,2018-03-05,35
427,Transfer,Knowledge quality good cup.,479.59,2016-08-26,35
428,Withdrawal,Main drive these somebody.,2021.23,2023-04-30,35
429,Transfer,Organization animal around campaign move.,2418.27,2025-05-24,36
430,Withdrawal,Establish be degree.,1232.60,2017-11-29,36
431,Payment,Star send partner avoid.,18.83,2016-08-06,36
432,Payment,Another life tax.,278.26,2022-09-11,36
433,Withdrawal,Manage finally pass.,427.02,2023-08-20,36
434,Deposit,If public different look.,164.34,2024-05-14,36
435,Withdrawal,Increase shoulder this week environmental.,319.45,2019-06-01,36
436,Transfer,Cultural should.,2202.63,2017-08-19,36
437,Deposit,Professional trial.,480.44,2018-03-15,36
438,Transfer,Source similar join.,2479.89,2018-01-13,36
439,Payment,Night check station message.,1702.02,2015-11-26,36
440,Deposit,Consider yard indeed to.,5.89,2021-01-06,36
441,Payment,Special watch remain son.,2134.80,2022-03-08,36
442,Transfer,Though tell mission.,2111.01,2021-03-30,36
443,Payment,Voice billion special public.,305.17,2019-12-30,36
444,Deposit,Someone coach enough.,1239.44,2020-01-03,36
445,Deposit,Focus city help.,2209.62,2023-04-16,36
446,Payment,One smile.,695.55,2021-02-04,36
447,Withdrawal,Nothing without successful special tend.,791.29,2021-05-30,36
448,Deposit,With serve later enough.,837.43,2015-12-09,36
449,Deposit,Evening trip record Congress rather.,2445.26,2021-01-20,37
450,Withdrawal,Exactly under body best.,2292.57,2023-08-07,37
451,Deposit,Program share recent be high.,823.73,2025-02-06,37
452,Deposit,Could whom reach certain.,70.65,2020-12-17,37
453,Transfer,Need possible music.,1481.73,2018-10-13,37
454,Deposit,Describe study reveal message sister.,2101.43,2023-01-13,37
455,Deposit,Single evidence market bag high.,1184.47,2021-12-26,37
456,Withdrawal,Coach watch end.,2054.26,2019-12-24,37
457,Payment,During drug environment arrive best.,2358.93,2017-02-08,37
458,Payment,Kitchen must treat.,1910.48,2018-10-17,37
459,Deposit,Crime meet.,1447.76,2024-11-05,37
460,Transfer,Turn light lot run.,2291.87,2021-07-29,37
461,Payment,Yard product.,1956.83,2025-02-10,38
462,Payment,Itself will down let.,137.92,2018-12-16,38
463,Deposit,Science health low.,165.41,2018-03-17,38
464,Payment,Ready assume indeed when.,1398.59,2022-07-02,38
465,Payment,Challenge example model might.,1004.81,2018-11-19,38
466,Deposit,Any feel may sport develop.,583.55,2019-01-31,38
467,Payment,Though provide hit.,1134.07,2020-08-07,38
468,Deposit,Pressure somebody either.,849.70,2018-03-25,40
469,Withdrawal,Level body party husband.,1135.74,2022-02-15,40
