Account_id,Account_Balance,Branch_id,Date_Opened,Account_Type
149,7749.60,353,2012-06-07,Savings
150,24995.96,128,2022-04-09,Business
151,31256.62,174,2008-10-08,Student
152,7695.92,183,2011-05-08,Business
153,6291.37,406,2023-05-26,Student
154,39428.09,163,2013-04-13,Checking
155,36659.44,413,2015-12-20,Money Market
156,17908.37,353,2017-05-02,Business
157,24265.11,129,2024-12-02,Checking
158,27136.70,287,2019-03-13,Savings
159,9331.34,98,2013-02-04,Savings
160,23419.74,166,2009-05-19,Money Market
161,27726.02,469,2006-07-04,Student
162,22469.21,272,2022-05-01,Business
163,22703.95,278,2017-07-28,Money Market
164,9276.71,195,2009-05-08,Student
165,18203.76,318,2006-08-03,Business
166,36050.18,123,2018-08-12,Student
167,9493.47,420,2017-02-11,Student
168,7706.58,393,2013-06-09,Savings
169,32045.20,166,2016-08-12,Money Market
170,32944.55,50,2014-01-26,Business
171,8931.94,428,2022-11-23,Business
172,24268.51,104,2023-05-29,Business
173,32087.58,17,2012-12-31,Business
174,26291.07,337,2014-10-26,Savings
175,18317.70,132,2024-09-14,Student
176,654.31,368,2024-03-20,Student
177,46420.19,336,2014-10-14,Checking
178,31945.84,240,2007-11-04,Business
179,46912.19,286,2009-02-17,Money Market
180,39712.48,421,2017-07-12,Savings
181,13290.78,422,2011-12-21,Business
182,41722.82,376,2024-03-24,Business
183,48029.34,484,2020-12-18,Business
184,11550.90,52,2009-07-17,Business
185,26309.60,98,2021-06-22,Savings
186,47375.17,292,2011-10-13,Checking
187,20759.23,384,2013-04-15,Student
188,28828.18,393,2011-06-26,Business
189,21353.75,360,2010-11-20,Savings
190,9019.83,86,2008-01-13,Business
191,32876.59,259,2018-03-28,Savings
192,46676.00,308,2015-11-14,Student
193,42242.70,282,2018-07-11,Money Market
194,21529.40,392,2011-08-09,Savings
195,28157.24,312,2020-05-29,Money Market
196,27511.94,193,2008-08-19,Checking
197,22374.99,185,2015-08-29,Money Market
198,1733.15,1,2009-07-08,Savings
199,25880.47,306,2025-06-10,Money Market
200,49219.72,4,2019-01-26,Money Market
201,1085.07,439,2018-09-29,Checking
202,25563.57,471,2013-05-22,Money Market
203,7735.74,475,2012-12-26,Student
204,7805.36,236,2017-10-30,Business
205,29107.79,188,2005-11-08,Money Market
206,15015.12,132,2007-08-13,Checking
207,45894.09,205,2013-01-16,Student
208,39645.21,371,2018-07-11,Business
209,44951.20,250,2007-04-15,Checking
210,29761.56,420,2023-09-01,Student
211,40417.06,20,2009-06-01,Money Market
212,2796.14,41,2008-04-23,Savings
213,40857.09,179,2006-01-27,Money Market
214,6027.03,477,2006-05-05,Savings
215,42473.91,383,2011-03-02,Checking
216,31609.68,325,2008-05-15,Business
217,2059.11,157,2014-01-17,Business
218,16341.58,290,2022-06-14,Student
219,33681.76,79,2024-09-03,Checking
220,37642.01,498,2015-10-24,Savings
221,11104.28,259,2023-10-15,Student
222,7400.62,403,2016-12-17,Money Market
223,28572.03,43,2015-02-18,Money Market
224,13127.90,281,2016-11-07,Business
225,38691.26,257,2016-01-23,Savings
226,24046.13,391,2022-10-13,Checking
227,32612.42,250,2016-12-09,Checking
228,49853.94,288,2011-12-28,Checking
229,3582.20,127,2020-05-15,Student
230,46206.90,166,2010-06-13,Savings
231,20679.10,58,2010-09-28,Business
232,16036.92,179,2021-07-14,Money Market
233,38484.06,336,2025-04-06,Student
234,41079.20,180,2011-12-26,Checking
235,22023.17,320,2022-07-15,Savings
236,18691.04,103,2010-06-08,Checking
237,2726.90,58,2009-03-21,Business
238,43437.62,475,2022-06-30,Student
239,34689.76,8,2018-02-08,Money Market
240,23559.52,157,2015-09-18,Business
241,26900.27,108,2009-03-17,Money Market
242,37517.76,280,2014-01-26,Checking
243,36496.18,248,2011-11-01,Student
244,33413.03,356,2010-02-18,Checking
245,26339.95,299,2010-12-04,Savings
246,14200.68,88,2024-06-16,Money Market
247,23248.04,139,2024-08-13,Student
248,33018.64,35,2017-02-02,Business
249,3006.61,443,2023-05-22,Money Market
250,25427.02,119,2017-04-08,Savings
251,24233.11,463,2018-09-24,Business
252,9320.87,273,2023-10-31,Student
253,28034.38,495,2015-07-15,Student
254,46113.51,21,2020-04-04,Business
255,19669.99,171,2014-10-26,Money Market
256,34215.57,10,2018-01-11,Checking
257,11810.24,321,2019-01-10,Money Market
258,3100.48,142,2007-08-06,Student
259,44520.10,450,2017-02-14,Money Market
260,47455.82,484,2013-05-11,Business
261,44858.77,78,2018-02-21,Checking
262,19110.36,45,2009-06-08,Checking
263,34326.17,447,2011-10-11,Student
264,7637.46,124,2012-12-15,Savings
265,16464.24,466,2012-03-24,Money Market
266,32623.63,68,2021-03-03,Student
267,40005.25,278,2010-06-19,Student
268,35256.82,159,2010-05-13,Checking
269,21503.21,466,2022-10-10,Student
270,45855.61,336,2013-02-19,Checking
271,26648.08,35,2013-04-22,Money Market
272,41976.13,95,2018-09-07,Business
273,38271.75,373,2025-02-22,Checking
274,15167.41,493,2016-08-01,Savings
275,9396.68,78,2008-05-01,Money Market
276,38122.37,95,2025-03-21,Checking
277,30280.23,316,2019-10-27,Student
278,11609.13,119,2012-06-06,Student
279,34407.06,184,2024-01-09,Business
280,42306.91,69,2014-07-16,Savings
281,18697.97,365,2011-03-28,Savings
282,6875.64,252,2015-03-07,Savings
283,20429.46,116,2025-01-30,Checking
284,47509.90,474,2019-10-03,Business
285,49412.17,381,2010-10-01,Checking
286,46355.16,34,2021-11-01,Checking
287,24497.14,444,2011-12-20,Savings
288,44379.35,444,2015-07-18,Money Market
289,2091.31,208,2008-05-25,Savings
290,19707.54,369,2018-10-15,Savings
291,26261.53,305,2013-10-12,Student
292,22580.48,267,2023-05-10,Business
293,25935.13,450,2020-04-18,Business
294,27885.05,377,2024-12-04,Savings
295,48129.62,392,2011-08-30,Student
296,19901.99,150,2015-12-13,Checking
297,14295.73,397,2007-03-31,Money Market
298,30656.71,217,2019-03-16,Checking
299,45183.78,354,2014-03-18,Business
300,22584.90,425,2011-04-26,Savings
301,38936.56,58,2021-10-10,Student
302,20677.97,70,2016-12-27,Student
303,22684.04,13,2021-10-17,Savings
304,4508.98,452,2015-08-11,Checking
305,45358.12,355,2011-04-05,Money Market
306,6177.21,368,2009-05-12,Checking
307,31703.62,362,2015-09-23,Business
308,19204.37,269,2009-12-10,Business
309,18933.93,314,2022-03-22,Student
310,8544.25,23,2008-07-29,Savings
311,32976.52,290,2006-04-07,Money Market
312,7230.37,84,2006-04-27,Checking
313,15475.92,215,2018-11-24,Business
314,9034.80,148,2011-10-04,Savings
315,176.64,492,2021-04-04,Checking
316,24881.38,7,2015-07-09,Money Market
317,287.53,279,2007-09-12,Savings
318,29443.12,122,2020-12-10,Savings
319,22093.77,233,2016-08-10,Savings
320,12235.66,308,2025-08-29,Student
321,31431.77,143,2011-11-27,Student
322,7412.81,26,2021-08-29,Checking
323,42691.46,19,2022-07-19,Money Market
324,14922.08,430,2012-04-10,Student
325,20847.85,26,2023-05-13,Business
326,14219.03,83,2010-09-25,Checking
327,28108.86,294,2008-02-24,Student
328,18009.43,384,2012-10-27,Savings
329,14964.72,48,2008-07-27,Business
330,41013.24,460,2017-04-22,Money Market
331,3246.29,432,2013-06-17,Savings
332,34730.97,69,2023-01-26,Savings
333,20687.90,169,2013-12-26,Money Market
334,30602.69,357,2021-02-12,Checking
335,48967.50,293,2009-06-10,Business
336,36203.71,45,2014-12-16,Student
337,49313.92,479,2008-02-17,Student
338,42389.90,219,2012-02-25,Money Market
339,49751.22,270,2012-11-27,Money Market
340,30714.50,475,2022-11-24,Money Market
341,31592.88,267,2009-06-14,Savings
342,44183.18,414,2021-10-09,Savings
343,48962.88,363,2019-04-17,Checking
344,23244.28,61,2025-04-08,Business
345,10366.54,378,2006-10-14,Business
346,2274.61,213,2016-07-09,Student
347,31875.18,287,2007-09-23,Money Market
348,34500.85,328,2021-04-17,Business
349,15388.63,405,2024-04-14,Money Market
350,38351.63,282,2018-07-17,Student
351,17068.08,352,2018-05-01,Business
352,41602.14,316,2025-02-25,Student
353,16896.84,170,2007-02-08,Checking
354,39862.72,470,2015-03-01,Savings
355,31360.02,247,2022-04-28,Checking
356,23123.50,459,2018-04-16,Student
357,2801.11,476,2009-02-24,Savings
358,36248.21,154,2013-02-18,Student
359,3008.70,285,2013-10-15,Money Market
360,39976.77,351,2018-05-14,Student
361,14023.00,34,2022-06-16,Money Market
362,31325.54,174,2017-05-23,Business
363,19478.31,293,2012-03-22,Checking
364,39117.20,60,2006-06-01,Student
365,15724.97,362,2006-07-26,Money Market
366,4339.89,140,2016-07-10,Business
367,41472.87,191,2015-09-02,Checking
368,15115.91,111,2014-01-11,Money Market
369,1869.75,192,2008-03-14,Business
370,22188.70,468,2023-09-24,Checking
371,45247.79,410,2014-12-25,Business
372,46181.84,98,2018-03-06,Checking
373,16366.90,159,2008-05-30,Student
374,33835.86,421,2014-03-25,Business
375,1827.63,106,2009-07-22,Checking
376,26117.24,366,2006-05-30,Savings
377,34352.62,160,2024-10-26,Business
378,16664.49,447,2023-11-08,Student
379,38309.01,53,2014-02-17,Business
380,37924.69,12,2012-11-07,Money Market
381,9627.28,165,2021-04-23,Checking
382,38639.35,273,2018-08-25,Money Market
383,7874.80,140,2022-06-16,Business
384,27981.29,8,2011-11-01,Business
385,17515.91,106,2013-08-21,Business
386,47163.89,139,2022-08-19,Money Market
387,8563.75,294,2020-04-25,Money Market
388,27028.86,314,2018-03-18,Money Market
389,23536.78,67,2025-02-26,Business
390,2689.99,55,2017-03-15,Business
391,35233.88,201,2021-10-16,Savings
392,34506.24,323,2007-01-20,Student
393,15622.03,316,2017-10-30,Savings
394,33543.51,366,2008-10-18,Checking
395,38221.41,41,2008-11-08,Student
396,40642.55,68,2023-09-21,Student
397,15519.58,50,2015-08-03,Savings
398,47372.41,241,2020-08-10,Savings
399,12902.64,441,2011-12-21,Checking
400,34980.73,201,2021-09-10,Money Market
401,44120.19,404,2006-07-02,Money Market
402,3268.26,250,2025-02-16,Savings
403,23062.08,180,2015-01-26,Business
404,17430.77,145,2008-08-01,Checking
405,5146.61,66,2014-05-31,Student
406,32472.57,167,2013-05-02,Business
407,20040.82,273,2015-06-20,Money Market
408,12184.55,123,2011-11-18,Savings
409,19190.82,499,2014-12-27,Checking
410,34702.99,107,2007-07-21,Money Market
411,28360.56,402,2016-01-16,Savings
412,11807.72,279,2010-03-28,Money Market
413,28709.41,379,2009-11-03,Business
414,29803.77,59,2012-07-10,Savings
415,41101.15,285,2023-08-14,Money Market
416,3480.38,158,2016-09-14,Checking
417,29820.27,351,2007-07-20,Business
418,32249.46,168,2014-09-20,Savings
419,40851.68,47,2020-12-04,Business
420,31806.64,463,2008-11-15,Student
421,33044.07,388,2022-07-08,Business
422,19499.13,273,2019-04-09,Savings
423,10283.08,229,2021-06-02,Student
424,39717.33,154,2013-01-06,Money Market
425,35889.56,471,2016-01-21,Money Market
426,2623.62,46,2012-09-26,Money Market
427,6377.78,207,2006-10-18,Student
428,45053.78,32,2017-07-11,Money Market
429,28001.51,1,2010-01-12,Business
430,14110.46,57,2006-06-28,Money Market
431,35111.09,121,2016-02-15,Business
432,35588.68,321,2018-09-02,Savings
433,27255.94,196,2016-01-17,Savings
434,9411.34,244,2022-09-08,Checking
435,41998.13,432,2017-09-22,Savings
436,33503.30,148,2006-03-26,Checking
437,32419.46,6,2024-03-13,Checking
438,24335.07,370,2005-12-16,Checking
439,4233.17,500,2022-10-05,Savings
440,44679.12,441,2015-07-31,Savings
441,31162.42,477,2016-04-04,Student
442,27602.50,261,2016-04-17,Savings
443,11287.05,197,2017-11-02,Savings
444,28896.93,310,2025-08-22,Savings
445,13462.52,365,2014-07-21,Checking
446,1673.09,296,2017-07-29,Student
447,35244.13,291,2014-12-20,Business
448,48086.89,298,2015-01-03,Business
449,36564.66,73,2009-06-06,Business
450,3911.73,239,2014-03-19,Money Market
451,23622.58,46,2020-04-22,Student
452,26959.86,351,2011-08-05,Business
453,2638.71,160,2012-01-21,Student
454,3134.56,274,2008-05-06,Money Market
455,28698.27,263,2015-04-14,Savings
456,48029.07,216,2017-11-21,Money Market
457,2792.90,149,2022-01-18,Money Market
458,36348.59,384,2018-12-27,Student
459,31465.00,134,2024-06-05,Student
460,2580.99,87,2012-12-16,Student
461,31215.85,415,2009-04-08,Money Market
462,6341.07,249,2023-12-16,Money Market
463,13892.44,436,2008-03-24,Business
464,13760.86,316,2019-07-04,Checking
465,5577.47,8,2009-03-06,Money Market
466,36948.36,466,2012-07-14,Checking
467,8769.97,190,2007-09-09,Savings
468,39968.60,249,2021-10-01,Checking
469,48367.28,176,2023-11-30,Business
470,7707.51,479,2007-05-18,Student
471,38518.39,386,2016-07-18,Savings
472,36299.95,339,2015-12-08,Checking
473,36718.06,108,2012-11-06,Checking
474,13219.77,28,2011-05-27,Money Market
475,23200.75,27,2022-01-18,Business
476,37307.53,155,2015-02-15,Savings
477,34175.50,120,2017-04-15,Student
478,7257.49,243,2019-12-01,Savings
479,46361.13,7,2019-05-01,Savings
480,15784.43,196,2010-08-03,Savings
481,4868.22,350,2024-11-19,Student
482,47809.18,327,2017-11-14,Student
483,42917.78,313,2011-03-08,Savings
484,40115.82,139,2019-10-26,Money Market
485,19557.69,336,2012-09-14,Money Market
486,29436.21,376,2010-09-26,Checking
487,33885.91,267,2018-03-28,Checking
488,528.90,161,2013-07-10,Checking
489,1384.80,426,2024-04-13,Business
490,34274.98,269,2023-06-23,Business
491,14164.85,113,2009-07-16,Money Market
492,30969.86,18,2025-04-10,Checking
493,32830.28,481,2012-06-24,Business
494,31904.14,487,2012-05-12,Checking
495,30234.29,45,2006-08-07,Business
496,44994.86,337,2008-09-03,Savings
497,44800.08,412,2021-08-30,Student
498,23347.78,130,2019-03-14,Checking
499,46134.77,328,2015-08-21,Business
500,34611.07,394,2016-03-25,Money Market
