Loan_id,Duration_in_Years,Loan_Start_Date,Interest_Rate,Loan_Amount_Taken,Loan_Amount_Repaid,Loan_Type,Customer_id
78,2.54,2012-08-14,9.78,50383.63,470.36,Student,206
79,9.39,2015-09-06,17.05,6415.09,5730.54,Auto,208
80,1.81,2022-12-06,16.57,64884.62,22301.63,Home,210
81,14.11,2025-01-29,15.34,69736.84,46446.92,Student,211
82,20.35,2023-06-07,8.91,70703.24,29932.76,Auto,212
83,24.16,2023-11-02,8.47,49758.07,30754.61,Personal,214
84,19.60,2014-07-12,13.53,19393.72,6696.86,Auto,216
85,2.04,2017-01-11,10.58,10850.36,3852.49,Home,222
86,10.09,2016-06-24,13.00,74786.13,8212.39,Home,223
87,4.02,2016-07-15,4.31,57730.08,21388.75,Home,234
88,6.04,2022-11-08,6.54,59527.21,24723.20,Personal,235
89,19.42,2016-03-03,16.50,14608.61,13860.58,Student,240
90,10.75,2014-09-17,12.22,43636.03,9794.84,Personal,254
91,2.82,2020-03-10,4.56,36059.37,20315.81,Home,259
92,21.70,2025-08-01,4.21,29593.61,17353.99,Student,261
93,17.33,2014-07-16,15.87,12576.08,7620.33,Auto,262
94,7.17,2017-02-04,2.57,53368.21,35615.65,Auto,265
95,12.81,2021-03-08,12.44,3182.94,600.19,Personal,266
96,24.11,2025-10-06,14.89,77102.41,40157.81,Home,270
97,1.04,2022-12-12,7.28,74960.27,35139.40,Auto,273
98,22.57,2018-07-09,4.47,70086.89,26698.70,Auto,275
99,4.96,2020-05-11,15.44,56565.36,39058.49,Home,278
100,2.39,2023-07-01,3.96,65644.91,43629.30,Auto,289
101,24.38,2021-02-12,12.38,49473.81,29827.58,Student,291
102,9.46,2021-11-16,10.36,65791.30,61745.95,Auto,293
103,15.70,2018-04-07,2.66,95262.39,31090.71,Auto,294
104,8.70,2025-02-11,15.41,18957.19,12587.97,Student,297
105,3.68,2021-04-20,4.91,69472.52,46289.17,Personal,299
106,10.24,2015-09-05,15.37,69548.83,66269.89,Personal,301
107,7.86,2017-07-11,8.74,81011.34,63486.38,Student,302
108,10.23,2019-06-09,15.66,70698.87,54640.93,Personal,305
109,7.52,2014-07-13,16.44,72876.33,69684.37,Home,309
110,13.53,2016-07-12,6.66,13838.79,8124.77,Home,311
111,10.89,2016-07-10,15.51,73136.48,29855.01,Auto,312
112,25.65,2020-01-24,13.98,78312.21,14856.76,Personal,329
113,16.31,2016-01-03,7.82,88378.24,81180.45,Personal,334
114,1.50,2012-09-27,15.69,74206.49,65419.79,Personal,335
115,29.20,2017-08-18,17.37,22412.13,15620.49,Auto,340
116,3.07,2011-07-08,9.62,13468.19,10507.85,Student,342
117,16.17,2013-10-23,3.14,24514.58,841.77,Student,345
118,25.81,2020-10-17,16.86,67556.24,1963.71,Auto,346
119,13.09,2015-02-11,9.14,76318.47,44099.88,Auto,350
120,7.88,2020-10-14,17.80,45492.23,13431.04,Student,353
121,12.47,2018-06-30,10.10,63634.80,159.75,Personal,357
122,6.44,2020-05-02,3.68,27542.70,22549.23,Personal,362
123,8.48,2016-04-04,16.36,94734.77,94220.08,Student,364
124,15.77,2014-07-14,9.15,66785.98,50426.97,Home,366
125,3.29,2012-07-30,14.91,17761.14,3771.49,Student,367
126,26.89,2025-01-27,11.24,98475.00,76550.04,Home,370
127,11.89,2018-09-24,11.93,85242.78,66453.61,Student,371
128,20.31,2025-01-08,9.49,4506.39,4129.50,Personal,373
129,7.34,2018-11-16,13.79,45220.74,34289.82,Personal,374
130,24.70,2011-07-16,17.53,41384.72,23690.89,Personal,375
131,28.42,2017-04-30,10.22,12516.63,6647.95,Auto,376
132,9.17,2010-12-30,10.89,21710.53,288.15,Personal,377
133,19.86,2021-05-27,14.21,10485.48,9468.29,Personal,381
134,8.84,2021-09-26,7.36,30793.07,20379.82,Student,383
135,16.50,2015-10-07,13.03,77616.80,19163.78,Student,388
136,9.95,2024-03-19,16.36,73335.46,42332.06,Personal,393
137,29.23,2013-06-20,5.88,22820.34,13963.63,Student,394
138,1.13,2023-07-26,10.41,67573.87,44090.36,Student,395
139,6.53,2011-10-28,16.03,69676.94,39609.55,Student,396
140,5.42,2025-09-15,9.81,75706.83,18347.99,Personal,398
141,2.79,2015-04-08,10.39,23879.77,20706.67,Home,402
142,13.84,2024-03-15,11.69,83262.42,33803.85,Auto,403
143,29.73,2018-08-21,14.96,17296.38,16779.62,Personal,406
144,5.98,2025-07-08,5.74,51341.18,38629.18,Home,407
145,5.66,2018-07-19,7.79,60515.69,40085.00,Student,413
146,25.33,2015-02-12,17.19,92496.00,26065.73,Personal,414
147,13.85,2021-10-27,8.01,75019.86,23732.91,Personal,415
148,16.19,2018-07-23,4.66,81465.77,67095.14,Student,417
149,28.47,2023-07-01,15.19,13025.18,6781.24,Personal,421
150,2.70,2015-06-29,9.13,24757.90,21405.71,Student,424
151,22.65,2013-11-15,2.64,38090.39,25178.46,Auto,426
152,8.15,2018-07-19,13.39,8635.67,5033.67,Auto,428
153,27.69,2019-02-04,14.07,95400.95,4924.66,Personal,430
154,4.58,2018-08-10,9.51,63119.46,55907.23,Personal,436
155,21.81,2013-11-28,17.05,86630.39,75696.74,Auto,437
156,28.86,2022-07-19,9.69,64703.95,52028.34,Student,440
157,23.30,2014-05-04,16.59,53482.80,35925.40,Student,441
158,14.35,2021-02-11,13.11,89442.20,19283.73,Personal,447
159,26.17,2021-08-25,8.90,56906.11,25260.65,Home,449
160,3.16,2021-11-12,16.96,72942.59,69399.22,Auto,454
161,28.20,2017-01-07,5.37,75859.45,74.07,Auto,455
162,11.14,2018-02-21,8.20,73769.77,67236.42,Home,457
163,27.53,2023-11-21,6.55,89959.02,79867.15,Home,460
164,1.33,2022-04-02,10.33,24759.76,9961.77,Student,461
165,9.60,2015-10-15,11.48,31670.93,19394.43,Student,463
166,21.56,2011-02-18,4.66,83175.20,41899.14,Auto,465
167,15.97,2021-12-07,15.68,74436.19,27294.71,Student,466
168,9.29,2017-02-18,3.28,30632.87,19148.82,Auto,468
169,16.56,2021-11-01,10.57,58508.74,49793.18,Personal,469
170,16.85,2017-02-12,3.15,21831.02,359.04,Student,474
171,15.67,2025-06-27,6.15,40624.89,36243.93,Auto,475
172,24.31,2020-06-07,6.44,9912.14,895.11,Auto,483
173,20.85,2017-02-05,8.89,11311.69,8068.96,Student,486
174,16.24,2018-05-18,9.53,9092.31,6820.42,Student,492
175,23.03,2023-06-22,12.32,89716.32,31579.73,Personal,493
176,12.73,2024-10-28,13.97,39499.68,38805.63,Home,495
177,12.86,2025-05-30,12.38,40167.67,246.12,Student,496
178,24.96,2011-10-22,4.14,66692.00,13288.49,Student,497
179,1.21,2017-01-31,12.21,32601.83,2366.61,Personal,499
180,25.53,2022-07-01,16.59,48122.55,44749.32,Student,500
